A;B;DISTANCE;LINKTYPE;JURISDICTIO;CAPINDEX;TIME_SPDFLA;TIME_SPD;CAPACITY;VL01;VL02;VL03;VL04;VL05;VL06;VL07;VL08;VL09;VL10;VL11;VL12;VL13;VL14;VL15;VL16;VL17;VL18;FFTM;VL20
595;718;0,05;16;1;22;T;0,10;1100;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;30,00;0;0;0;0;0;0;0;0;0;0
719;718;0,01;7;1;20;T;0,02;1100;254,47;14,30;19,36;66,06;19,39;0;373,58;288,13;0,34;30,00;0;0;0;0;0;0;0;0;0;0
718;719;0,01;7;1;20;T;0,02;1100;51,85;15,28;34,20;6,83;4,38;0;112,54;101,33;0,10;30,00;0;0;0;0;0;0;0;0;0;0
720;719;0,05;7;1;20;T;0,11;1100;254,47;14,30;19,36;66,06;19,39;0;373,58;288,13;0,34;27,27;0;0;0;0;0;0;0;0;0;0
595;720;0,01;7;1;20;T;0,02;1100;254,47;14,30;19,36;66,06;19,39;0;373,58;288,13;0,34;30,00;0;0;0;0;0;0;0;0;0;0
719;720;0,05;7;1;20;T;0,08;1100;51,85;15,28;34,20;6,83;4,38;0;112,54;101,33;0,10;37,50;0;0;0;0;0;0;0;0;0;0
595;721;0,01;7;1;20;T;0,02;1100;62,02;15,56;34,83;6,83;4,38;0;123,62;112,41;0,11;30,00;0;0;0;0;0;0;0;0;0;0
723;721;0,20;7;1;20;T;0,44;1100;253,75;18,42;24,31;66,06;19,39;0;381,93;296,48;0,35;27,27;0;0;0;0;0;0;0;0;0;0
270;722;0,01;7;1;20;T;0,02;1100;253,75;18,42;24,31;66,06;19,39;0;381,93;296,48;0,35;30,00;0;0;0;0;0;0;0;0;0;0
595;722;0,20;16;1;22;T;0,41;1100;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;29,27;0;0;0;0;0;0;0;0;0;0
723;722;0,01;7;1;20;T;0,02;1100;62,02;15,56;34,83;6,83;4,38;0;123,62;112,41;0,11;30,00;0;0;0;0;0;0;0;0;0;0
721;723;0,20;7;1;20;T;0,32;1100;62,02;15,56;34,83;6,83;4,38;0;123,62;112,41;0,11;37,50;0;0;0;0;0;0;0;0;0;0
722;723;0,01;7;1;20;T;0,02;1100;253,75;18,42;24,31;66,06;19,39;0;381,93;296,48;0,35;30,00;0;0;0;0;0;0;0;0;0;0
270;724;0,01;8;1;20;T;0,02;1100;71,85;17,58;46,77;8,54;4,80;0;149,54;136,20;0,14;30,00;0;0;0;0;0;0;0;0;0;0
305;724;0,25;16;1;22;T;0,52;1100;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;28,85;0;0;0;0;0;0;0;0;0;0
726;724;0,01;8;1;20;T;0,03;1100;419,20;19,43;25,40;68,30;19,85;0;552,18;464,03;0,50;20,00;0;0;0;0;0;0;0;0;0;0
254;725;0,01;8;1;20;T;0,03;1100;419,20;19,43;25,40;68,30;19,85;0;552,18;464,03;0,50;20,00;0;0;0;0;0;0;0;0;0;0
305;725;0,08;16;1;22;T;0,17;1100;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;28,24;0;0;0;0;0;0;0;0;0;0
727;725;0,01;8;1;20;T;0,02;1100;71,85;17,58;46,77;8,54;4,80;0;149,54;136,20;0,14;30,00;0;0;0;0;0;0;0;0;0;0
724;726;0,01;8;1;20;T;0,02;1100;71,85;17,58;46,77;8,54;4,80;0;149,54;136,20;0,14;30,00;0;0;0;0;0;0;0;0;0;0
728;726;0,25;8;1;20;T;0,67;1100;419,20;19,43;25,40;68,30;19,85;1;553,18;464,03;0,50;22,39;0;0;0;0;0;0;0;0;0;0
725;727;0,01;8;1;20;T;0,03;1100;419,20;19,43;25,40;68,30;19,85;0;552,18;464,03;0,50;20,00;0;0;0;0;0;0;0;0;0;0
728;727;0,07;8;1;20;T;0,11;1100;71,85;17,58;46,77;8,54;4,80;0;149,54;136,20;0,14;38,18;0;0;0;0;0;0;0;0;0;0
726;728;0,25;8;1;20;T;0,41;1100;71,85;17,58;46,77;8,54;4,80;1;150,54;136,20;0,14;36,59;0;0;0;0;0;0;0;0;0;0
727;728;0,07;8;1;20;T;0,19;1100;419,20;19,43;25,40;68,30;19,85;0;552,18;464,03;0,50;22,11;0;0;0;0;0;0;0;0;0;0
240;729;0,01;7;1;12;T;0,01;2540;320,00;55,34;100,15;106,97;30,40;0;612,86;475,49;0,24;60,00;0;0;0;0;0;0;0;0;0;0
729;730;0,02;7;1;12;T;0,02;1270;320,00;55,34;100,15;106,97;30,40;0;612,86;475,49;0,48;60,00;0;0;0;0;0;0;0;0;0;0
79;731;0,07;16;1;12;T;0,06;1270;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;70,00;0;0;0;0;0;0;0;0;0;0
