N;;;X;Y;HIERNODE;SLABEL;LLABEL;SUB_TYPE;OLD_NODE
611;5355;2079;425355;565995;0;;;0;9182
612;6111;2044;426111;565960;0;;;3;9183
613;3241;2115;423241;566031;0;;;0;9188
614;4277;5410;424277;569326;0;;;3;9276
615;4520;3291;424520;567207;0;;;0;9280
616;4615;2975;424615;566891;0;;;0;9281
617;4534;3287;424534;567203;0;;;0;9282
618;4624;2992;424624;566908;0;;;0;9283
619;4378;4426;424378;568342;0;;;0;9284
620;4398;4276;424398;568192;0;;;0;9285
621;4386;4422;424386;568338;0;;;0;9286
622;4404;4281;424404;568197;0;;;0;9287
623;4694;2553;424694;566469;0;;;0;9288
624;4703;2547;424703;566463;0;;;0;9289
625;4812;1965;424812;565881;0;;;0;9290
626;4822;1890;424822;565806;0;;;0;9291
627;4817;1889;424817;565805;0;;;0;9292
628;4879;1312;424879;565228;0;;;0;9293
629;4824;1888;424824;565804;0;;;0;9294
630;4816;1887;424816;565803;0;;;0;9295
631;4875;1323;424875;565239;0;;;0;9296
632;4935;1251;424935;565167;0;;;0;9297
633;4883;1261;424883;565177;0;;;0;9298
634;4890;1153;424890;565069;0;;;0;9299
635;4934;1201;424934;565117;0;;;0;9300
636;4892;1152;424892;565068;0;;;0;9301
637;4880;1258;424880;565174;0;;;0;9302
638;4888;1155;424888;565071;0;;;0;9303
639;4935;1199;424935;565115;0;;;0;9304
640;4895;1153;424895;565069;0;;;0;9305
641;4887;1144;424887;565060;0;;;0;9306
642;4885;1144;424885;565060;0;;;0;9307
643;4817;1030;424817;564946;0;;;0;9308
644;4803;984;424803;564900;0;;;0;9313
645;4812;1014;424812;564930;0;;;0;9314
646;4802;980;424802;564896;0;;;0;9315
647;4746;909;424746;564825;0;;;0;9316
648;4802;979;424802;564895;0;;;0;9317
649;4747;910;424747;564826;0;;;0;9318
650;4813;1013;424813;564929;0;;;0;9319
651;4804;984;424804;564900;0;;;0;9320
652;4738;899;424738;564815;0;;;0;9321
653;4708;848;424708;564764;0;;;0;9322
654;4738;897;424738;564813;0;;;0;9323
655;4709;848;424709;564764;0;;;0;9324
656;4706;844;424706;564760;0;;;0;9325
657;4706;843;424706;564759;0;;;0;9326
